Cycle start time,Cycle end time,Cycle timezone,Sleep onset,Wake onset,Sleep performance %,Respiratory rate (rpm),Asleep duration (min),In bed duration (min),Light sleep duration (min),Deep (SWS) duration (min),REM duration (min),Awake duration (min),Sleep need (min),Sleep debt (min),Sleep efficiency %,Sleep consistency %,Nap
2025-11-21 01:03:29,,UTC+03:00,2025-11-21 01:03:29,2025-11-21 09:14:39,82,12.7,446,491,286,92,68,45,572,89,91,75,false
2025-11-20 00:06:56,2025-11-21 01:03:29,UTC+03:00,2025-11-20 00:06:56,2025-11-20 07:20:07,84,12.6,405,433,262,71,72,28,545,66,93,83,false
2025-11-19 00:34:22,2025-11-20 00:06:56,UTC+03:00,2025-11-19 00:34:22,2025-11-19 08:25:23,84,12.7,442,471,310,86,46,29,545,56,94,81,false
2025-11-18 00:02:19,2025-11-19 00:34:22,UTC+03:00,2025-11-18 00:02:19,2025-11-18 08:55:08,83,12.8,495,532,319,94,82,37,583,121,93,73,false
2025-11-17 00:29:16,2025-11-18 00:02:19,UTC+03:00,2025-11-17 00:29:16,2025-11-17 06:30:49,74,12.8,343,361,227,54,62,18,585,93,94,83,false
2025-11-15 23:58:18,2025-11-17 00:29:16,UTC+03:00,2025-11-15 23:58:18,2025-11-16 07:21:07,86,12.8,418,442,250,104,64,24,563,101,94,91,false
2025-11-14 23:28:15,2025-11-15 23:58:18,UTC+03:00,2025-11-14 23:28:15,2025-11-15 06:55:09,85,12.5,430,446,282,75,73,16,587,102,96,88,false
2025-11-13 23:56:41,2025-11-14 23:28:15,UTC+03:00,2025-11-13 23:56:41,2025-11-14 07:05:54,84,12.7,391,429,299,29,63,38,551,68,91,87,false
2025-11-12 23:43:03,2025-11-13 23:56:41,UTC+03:00,2025-11-12 23:43:03,2025-11-13 07:30:28,84,12.3,432,467,312,57,63,35,539,55,93,81,false
2025-11-11 23:45:28,2025-11-12 23:43:03,UTC+03:00,2025-11-11 23:45:28,2025-11-12 08:06:05,83,12.2,453,500,285,78,90,47,539,77,90,74,false
2025-11-11 00:08:25,2025-11-11 23:45:28,UTC+03:00,2025-11-11 00:08:25,2025-11-11 07:04:53,79,12.2,377,416,262,53,62,39,533,33,91,67,false
2025-11-10 00:45:51,2025-11-11 00:08:25,UTC+03:00,2025-11-10 00:45:51,2025-11-10 08:49:01,86,12.8,448,483,297,97,54,35,500,0,92,79,false
2025-11-09 00:56:18,2025-11-10 00:45:51,UTC+03:00,2025-11-09 00:56:18,2025-11-09 10:30:14,86,12.9,543,573,368,71,104,30,498,34,94,70,false
2025-11-08 01:07:15,2025-11-09 00:56:18,UTC+03:00,2025-11-08 01:07:15,2025-11-08 09:39:12,83,12.2,483,511,305,100,78,28,538,47,94,70,false
2025-11-06 23:57:12,2025-11-08 01:07:15,UTC+03:00,2025-11-06 23:57:12,2025-11-07 07:14:50,82,12.9,410,437,248,71,91,27,484,2,93,71,false
2025-11-05 23:10:38,2025-11-06 23:57:12,UTC+03:00,2025-11-05 23:10:38,2025-11-06 09:05:24,80,12.8,548,594,380,95,73,46,552,67,92,62,false
2025-11-05 01:30:06,2025-11-05 23:10:38,UTC+03:00,2025-11-05 01:30:06,2025-11-05 09:06:36,84,12.7,431,456,240,77,114,25,536,49,94,78,false
2025-11-04 00:46:03,2025-11-05 01:30:06,UTC+03:00,2025-11-04 00:46:03,2025-11-04 07:04:49,78,12.8,364,378,234,48,82,14,464,2,96,59,false
2025-11-03 00:46:00,2025-11-04 00:46:03,UTC+03:00,2025-11-03 00:46:00,2025-11-03 09:21:38,81,12.3,492,515,340,49,103,23,496,34,95,56,false
2025-11-01 01:10:42,2025-11-02 02:44:00,UTC+03:00,2025-11-01 01:10:42,2025-11-01 09:48:11,89,12.7,466,517,347,54,65,51,520,58,90,83,false
2025-10-31 01:54:41,2025-11-01 01:10:42,UTC+03:00,2025-10-31 01:54:41,2025-10-31 09:28:57,85,12.3,409,454,271,78,60,45,500,21,90,80,false
2025-10-30 01:14:37,2025-10-31 01:54:41,UTC+03:00,2025-10-30 01:14:37,2025-10-30 09:20:38,83,13.0,443,486,310,56,77,43,477,90,91,65,false
2025-10-29 01:25:00,2025-10-30 01:14:37,UTC+03:00,2025-10-29 20:57:37,2025-10-29 22:17:07,25,13.0,76,79,40,36,0,3,554,90,97,,true
2025-10-29 01:25:00,2025-10-30 01:14:37,UTC+03:00,2025-10-29 01:25:00,2025-10-29 09:24:54,81,12.6,454,479,325,49,80,25,595,127,95,71,false
2025-10-28 02:54:28,2025-10-29 01:25:00,UTC+03:00,2025-10-28 02:54:28,2025-10-28 08:41:01,70,12.8,333,346,226,52,55,13,589,103,96,71,false
2025-10-27 01:42:27,2025-10-28 02:54:28,UTC+03:00,2025-10-27 01:42:27,2025-10-27 08:20:05,73,12.9,371,397,218,94,59,26,577,103,93,61,false
2025-10-26 04:22:56,2025-10-27 01:42:27,UTC+03:00,2025-10-26 04:22:56,2025-10-26 11:27:57,74,12.7,396,425,243,69,84,29,558,96,93,46,false
2025-10-25 01:17:33,2025-10-26 04:22:56,UTC+03:00,2025-10-25 01:17:33,2025-10-25 09:25:00,85,12.3,463,487,310,71,82,24,613,127,95,84,false
2025-10-24 01:47:02,2025-10-25 01:17:33,UTC+03:00,2025-10-24 01:47:02,2025-10-24 09:21:23,74,12.7,388,454,236,92,60,66,617,125,86,78,false
2025-10-23 01:17:31,2025-10-24 01:47:02,UTC+03:00,2025-10-23 01:17:31,2025-10-23 06:59:40,73,12.7,312,342,177,87,48,30,507,46,91,64,false
2025-10-22 01:00:59,2025-10-23 01:17:31,UTC+03:00,2025-10-22 01:00:59,2025-10-22 09:57:07,84,12.7,508,536,381,68,59,28,580,119,94,72,false
2025-10-21 01:57:46,2025-10-22 01:00:59,UTC+03:00,2025-10-21 01:57:46,2025-10-21 08:48:18,77,12.6,385,410,256,56,73,25,570,105,93,68,false
2025-10-20 03:29:15,2025-10-21 01:57:46,UTC+03:00,2025-10-20 03:29:15,2025-10-20 09:21:20,74,12.3,325,352,238,45,42,27,488,19,92,56,false
2025-10-19 01:41:44,2025-10-20 03:29:15,UTC+03:00,2025-10-19 01:41:44,2025-10-19 09:18:00,80,12.9,433,456,268,83,82,23,464,0,95,51,false
2025-10-17 22:17:11,2025-10-19 01:41:44,UTC+03:00,2025-10-17 22:17:11,2025-10-18 11:18:23,40,16.6,667,781,513,58,96,114,556,93,85,35,false
2025-10-17 06:00:10,2025-10-17 22:17:11,UTC+03:00,2025-10-17 06:00:10,2025-10-17 11:59:15,55,13.3,337,359,192,77,68,22,525,55,94,26,false
2025-10-16 02:26:05,2025-10-17 07:00:10,UTC+04:00,2025-10-16 02:26:05,2025-10-16 10:47:37,79,13.4,477,495,308,82,87,18,564,79,96,57,false
2025-10-14 23:47:04,2025-10-16 01:26:05,UTC+03:00,2025-10-14 23:47:04,2025-10-15 07:21:35,77,12.7,435,454,299,47,89,19,558,127,95,52,false
2025-10-14 01:23:29,2025-10-14 23:47:04,UTC+03:00,2025-10-14 10:10:41,2025-10-14 11:23:41,22,13.5,61,67,25,36,0,6,595,127,90,,true
2025-10-14 01:23:29,2025-10-14 23:47:04,UTC+03:00,2025-10-14 01:23:29,2025-10-14 05:35:59,39,12.8,232,242,146,62,24,10,586,66,95,53,false
2025-10-13 00:28:56,2025-10-14 01:23:29,UTC+03:00,2025-10-13 00:28:56,2025-10-13 08:45:43,80,12.9,458,486,287,91,80,28,562,90,94,62,false
2025-10-12 02:29:23,2025-10-13 00:28:56,UTC+03:00,2025-10-12 02:29:23,2025-10-12 10:39:08,75,12.5,428,487,291,85,52,59,610,104,87,58,false
2025-10-11 00:59:52,2025-10-12 02:29:23,UTC+03:00,2025-10-11 00:59:52,2025-10-11 07:59:53,83,12.6,391,417,255,71,65,26,554,83,93,83,false
2025-10-10 01:32:20,2025-10-11 00:59:52,UTC+03:00,2025-10-10 01:32:20,2025-10-10 08:50:48,83,12.8,411,436,231,89,91,25,540,64,94,79,false
2025-10-09 00:41:55,2025-10-10 01:32:20,UTC+03:00,2025-10-09 00:41:55,2025-10-09 07:03:16,79,12.6,365,377,240,71,54,12,495,31,96,66,false
2025-10-08 00:48:54,2025-10-09 00:41:55,UTC+03:00,2025-10-08 00:48:54,2025-10-08 09:01:55,87,13.0,458,488,267,78,113,30,508,45,93,80,false
2025-10-07 00:21:21,2025-10-08 00:48:54,UTC+03:00,2025-10-07 00:21:21,2025-10-07 09:11:22,83,13.0,503,528,347,80,76,25,574,109,95,71,false
2025-10-06 02:51:50,2025-10-07 00:21:21,UTC+03:00,2025-10-06 02:51:50,2025-10-06 09:15:21,54,13.9,353,383,209,85,59,30,573,104,92,77,false
2025-10-05 02:56:48,2025-10-06 02:51:50,UTC+03:00,2025-10-05 02:56:48,2025-10-05 10:07:19,53,13.1,309,426,227,53,29,117,518,48,72,62,false
2025-10-04 01:08:16,2025-10-05 02:56:48,UTC+03:00,2025-10-04 01:08:16,2025-10-04 08:52:49,90,12.9,441,460,315,63,63,19,518,51,95,89,false
2025-10-03 00:32:43,2025-10-04 01:08:16,UTC+03:00,2025-10-03 00:32:43,2025-10-03 08:01:28,86,13.1,413,447,265,69,79,34,517,45,92,84,false
2025-10-02 01:13:12,2025-10-03 00:32:43,UTC+03:00,2025-10-02 01:13:12,2025-10-02 08:56:11,89,13.2,437,462,285,89,63,25,509,40,94,86,false
2025-10-01 00:35:39,2025-10-02 01:13:12,UTC+03:00,2025-10-01 00:35:39,2025-10-01 09:15:40,81,13.2,436,515,321,53,62,79,517,10,85,92,false
2025-09-30 00:34:36,2025-10-01 00:35:39,UTC+03:00,2025-09-30 00:34:36,2025-09-30 08:41:18,95,12.8,445,486,269,96,80,41,461,0,91,88,false
2025-09-29 00:11:34,2025-09-30 00:34:36,UTC+03:00,2025-09-29 00:11:34,2025-09-29 09:23:46,100,12.9,507,547,400,30,77,40,483,14,92,90,false
2025-09-28 00:03:31,2025-09-29 00:11:34,UTC+03:00,2025-09-28 00:03:31,2025-09-28 09:24:03,83,12.8,467,555,257,121,89,88,496,33,84,83,false
2025-09-27 01:04:30,2025-09-28 00:03:31,UTC+03:00,2025-09-27 01:04:30,2025-09-27 09:02:38,88,12.7,451,472,326,70,55,21,503,40,95,81,false
2025-09-26 00:32:23,2025-09-27 01:04:30,UTC+03:00,2025-09-26 00:32:23,2025-09-26 08:46:08,86,12.4,447,487,317,79,51,40,510,31,91,83,false
2025-09-24 23:59:52,2025-09-26 00:32:23,UTC+03:00,2025-09-24 23:59:52,2025-09-25 07:57:36,85,12.4,454,477,353,52,49,23,516,8,95,83,false
2025-09-23 23:38:50,2025-09-24 23:59:52,UTC+03:00,2025-09-23 23:38:50,2025-09-24 08:04:05,89,12.5,473,497,306,79,88,24,487,0,95,77,false
2025-09-22 23:29:18,2025-09-23 23:38:50,UTC+03:00,2025-09-22 23:29:18,2025-09-23 08:53:33,90,13.1,542,564,339,107,96,22,527,64,96,77,false
2025-09-22 01:23:16,2025-09-22 23:29:18,UTC+03:00,2025-09-22 01:23:16,2025-09-22 08:56:47,85,12.8,406,449,236,99,71,43,507,45,90,85,false
2025-09-21 01:38:13,2025-09-22 01:23:16,UTC+03:00,2025-09-21 01:38:13,2025-09-21 09:28:20,82,12.7,421,463,271,74,76,42,511,42,91,72,false
2025-09-19 23:56:11,2025-09-21 01:38:13,UTC+03:00,2025-09-19 23:56:11,2025-09-20 08:22:31,89,12.9,476,503,321,44,111,27,541,79,94,84,false
2025-09-19 00:51:09,2025-09-19 23:56:11,UTC+03:00,2025-09-19 00:51:09,2025-09-19 08:53:01,79,12.6,407,474,259,77,71,67,566,89,85,80,false
2025-09-18 00:12:38,2025-09-19 00:51:09,UTC+03:00,2025-09-18 00:12:38,2025-09-18 08:00:39,87,12.6,426,468,313,71,42,42,565,74,91,89,false
2025-09-16 23:55:07,2025-09-18 00:12:38,UTC+03:00,2025-09-16 23:55:07,2025-09-17 07:41:08,86,12.9,436,454,318,45,73,18,552,90,95,86,false
2025-09-16 00:25:34,2025-09-16 23:55:07,UTC+03:00,2025-09-16 00:25:34,2025-09-16 07:40:35,84,12.8,392,433,249,75,68,41,533,70,90,83,false
2025-09-15 00:59:03,2025-09-16 00:25:34,UTC+03:00,2025-09-15 00:59:03,2025-09-15 07:38:04,82,12.6,362,392,254,60,48,30,472,0,92,74,false
2025-09-13 23:47:31,2025-09-15 00:59:03,UTC+03:00,2025-09-13 23:47:31,2025-09-14 09:50:39,87,12.5,541,595,359,69,113,54,522,61,90,72,false
2025-09-13 00:46:28,2025-09-13 23:47:31,UTC+03:00,2025-09-13 00:46:28,2025-09-13 08:14:29,84,12.5,420,443,272,73,75,23,516,52,95,81,false
2025-09-12 00:26:27,2025-09-13 00:46:28,UTC+03:00,2025-09-12 00:26:27,2025-09-12 09:02:51,84,12.8,467,512,329,68,70,45,549,86,91,77,false
2025-09-11 02:26:24,2025-09-12 00:26:27,UTC+03:00,2025-09-11 02:26:24,2025-09-11 08:57:25,77,12.7,363,388,205,106,52,25,536,74,93,65,false
2025-09-10 00:08:53,2025-09-11 02:26:24,UTC+03:00,2025-09-10 00:08:53,2025-09-10 07:29:49,84,13.1,421,434,305,55,61,13,538,52,97,79,false
2025-09-08 23:54:19,2025-09-10 00:08:53,UTC+03:00,2025-09-08 23:54:19,2025-09-09 08:00:20,83,12.7,452,471,324,53,75,19,534,68,96,72,false
2025-09-08 01:44:18,2025-09-08 23:54:19,UTC+03:00,2025-09-08 01:44:18,2025-09-08 09:33:49,75,13.0,390,450,311,48,31,60,526,56,86,68,false
2025-09-07 00:01:15,2025-09-08 01:44:18,UTC+03:00,2025-09-07 00:01:15,2025-09-07 08:11:33,88,13.2,465,490,269,111,85,25,553,89,94,86,false
2025-09-06 00:00:14,2025-09-07 00:01:15,UTC+03:00,2025-09-06 00:00:14,2025-09-06 08:05:45,84,12.9,455,481,253,95,107,26,594,120,94,80,false
2025-09-05 01:48:21,2025-09-06 00:00:14,UTC+03:00,2025-09-05 01:48:21,2025-09-05 08:25:02,70,13.4,344,391,172,114,58,47,584,110,88,68,false
2025-09-04 00:23:50,2025-09-05 01:48:21,UTC+03:00,2025-09-04 00:23:50,2025-09-04 06:35:29,54,12.8,286,371,180,49,57,85,506,10,76,66,false
2025-09-02 23:43:48,2025-09-04 00:23:50,UTC+03:00,2025-09-02 23:43:48,2025-09-03 08:12:26,87,12.7,468,505,319,69,80,37,484,0,92,75,false
2025-09-02 00:22:32,2025-09-02 23:43:48,UTC+03:00,2025-09-02 00:22:32,2025-09-02 09:05:34,90,12.9,496,516,313,90,93,20,483,7,96,78,false
2025-08-31 23:01:01,2025-09-02 00:22:32,UTC+03:00,2025-08-31 23:01:01,2025-09-01 09:47:32,77,12.9,530,637,387,70,73,107,544,79,83,61,false
2025-08-31 02:41:00,2025-08-31 23:01:01,UTC+03:00,2025-08-31 02:41:00,2025-08-31 08:49:01,78,12.9,328,362,206,44,78,34,487,23,90,69,false
2025-08-30 00:23:28,2025-08-31 02:41:00,UTC+03:00,2025-08-30 00:23:28,2025-08-30 08:44:29,89,12.8,483,500,338,70,75,17,520,56,96,81,false
2025-08-29 01:11:55,2025-08-30 00:23:28,UTC+03:00,2025-08-29 01:11:55,2025-08-29 08:10:57,82,12.7,382,407,229,75,78,25,494,8,94,76,false
2025-08-27 23:13:24,2025-08-29 01:11:55,UTC+03:00,2025-08-27 23:13:24,2025-08-28 07:57:03,90,12.8,493,523,369,52,72,30,506,45,94,85,false
